GDEKT;GDENR;GDENAME;Version;Link_Dok_RIS;Link_Dok_Present;downloadedPdfDocumentValid;MunicipalityExists;LinkValid;MetaDataDateEqual;MetaDataOriginal;MetaDataDownloadedFile;HashEqual;CrawledLink;CrawledLinkSameAsRISLink;;;
ZH;1;Aeugst am Albis;;https://oerebdocs.zh.ch/getDoc?docid=10087;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=10087;True;;;
ZH;2;Affoltern am Albis;;https://oerebdocs.zh.ch/getDoc?docid=9361;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=9361;True;;;
ZH;3;Bonstetten;;https://oerebdocs.zh.ch/getDoc?docid=9362;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=9362;True;;;
ZH;4;Hausen am Albis;;https://oerebdocs.zh.ch/getDoc?docid=9363;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=9363;True;;;
ZH;5;Hedingen;;https://oerebdocs.zh.ch/getDoc?docid=9374;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=9374;True;;;
ZH;6;Kappel am Albis;;https://oerebdocs.zh.ch/getDoc?docid=9942;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=9942;True;;;
ZH;7;Knonau;;https://oerebdocs.zh.ch/getDoc?docid=9938;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=9938;True;;;
ZH;8;Maschwanden;;https://oerebdocs.zh.ch/getDoc?docid=9365;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=9365;True;;;
ZH;9;Mettmenstetten;;https://oerebdocs.zh.ch/getDoc?docid=10086;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=10086;True;;;
ZH;10;Obfelden;;https://oerebdocs.zh.ch/getDoc?docid=11878;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=11878;True;;;
ZH;11;Ottenbach;;https://oerebdocs.zh.ch/getDoc?docid=11874;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=11874;True;;;
ZH;12;Rifferswil;;https://oerebdocs.zh.ch/getDoc?docid=11652;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=11652;True;;;
ZH;13;Stallikon;;https://oerebdocs.zh.ch/getDoc?docid=9946;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=9946;True;;;
ZH;14;Wettswil am Albis;;https://oerebdocs.zh.ch/getDoc?docid=11651;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=11651;True;;;
ZH;22;Benken (ZH);;https://oerebdocs.zh.ch/getDoc?docid=11884;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=11884;True;;;
ZH;23;Berg am Irchel;;https://oerebdocs.zh.ch/getDoc?docid=5519;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=5519;True;;;
ZH;24;Buch am Irchel;;https://oerebdocs.zh.ch/getDoc?docid=12134;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=12134;True;;;
ZH;25;Dachsen;;https://oerebdocs.zh.ch/getDoc?docid=8935;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=8935;True;;;
ZH;26;Dorf;;https://oerebdocs.zh.ch/getDoc?docid=12296;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=12296;True;;;
ZH;27;Feuerthalen;;https://oerebdocs.zh.ch/getDoc?docid=8902;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=8902;True;;;
ZH;28;Flaach;;https://oerebdocs.zh.ch/getDoc?docid=12814;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=12814;True;;;
ZH;29;Flurlingen;;https://oerebdocs.zh.ch/getDoc?docid=9319;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=9319;True;;;
ZH;31;Henggart;;https://oerebdocs.zh.ch/getDoc?docid=9310;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=9310;True;;;
ZH;33;Kleinandelfingen;;https://oerebdocs.zh.ch/getDoc?docid=11131;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=11131;True;;;
ZH;34;Laufen-Uhwiesen;;https://oerebdocs.zh.ch/getDoc?docid=11132;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=11132;True;;;
ZH;35;Marthalen;;https://oerebdocs.zh.ch/getDoc?docid=10958;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=10958;True;;;
ZH;37;Ossingen;;https://oerebdocs.zh.ch/getDoc?docid=12841;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=12841;True;;;
ZH;38;Rheinau;;https://oerebdocs.zh.ch/getDoc?docid=11366;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=11366;True;;;
ZH;39;Thalheim an der Thur;;https://oerebdocs.zh.ch/getDoc?docid=12144;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=12144;True;;;
ZH;40;Trüllikon;;https://oerebdocs.zh.ch/getDoc?docid=12295;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=12295;True;;;
ZH;41;Truttikon;;https://oerebdocs.zh.ch/getDoc?docid=12418;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=12418;True;;;
ZH;43;Volken;;https://oerebdocs.zh.ch/getDoc?docid=12417;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=12417;True;;;
ZH;51;Bachenbülach;;https://oerebdocs.zh.ch/getDoc?docid=6380;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=6380;True;;;
ZH;52;Bassersdorf;;https://oerebdocs.zh.ch/getDoc?docid=5390;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=5390;True;;;
ZH;53;Bülach;;https://oerebdocs.zh.ch/getDoc?docid=6576;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=6576;True;;;
ZH;54;Dietlikon;;https://oerebdocs.zh.ch/getDoc?docid=4027;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=4027;True;;;
ZH;55;Eglisau;;https://oerebdocs.zh.ch/getDoc?docid=9114;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=9114;True;;;
ZH;56;Embrach;;https://oerebdocs.zh.ch/getDoc?docid=6884;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=6884;True;;;
ZH;57;Freienstein-Teufen;;https://oerebdocs.zh.ch/getDoc?docid=7865;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=7865;True;;;
ZH;58;Glattfelden;;https://oerebdocs.zh.ch/getDoc?docid=8932;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=8932;True;;;
ZH;59;Hochfelden;;https://oerebdocs.zh.ch/getDoc?docid=7862;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=7862;True;;;
ZH;60;Höri;;https://oerebdocs.zh.ch/getDoc?docid=8901;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=8901;True;;;
