GDEKT;GDENR;GDENAME;VERSION;LINKDOC;LINKDOC_PRESENT;DOWNLOADED_PDF_VALID;MUNICIPALITY_EXISTS;LINK_VALID;METADATA_EQUAL;METADATA_ORIGINAL;METADATA_DOWNLOADEDFILE;HASH_EQUAL;CRAWLED_LINK;CRAWLED_LINK_SAME
ZH;1;Aeugst am Albis;20240511;https://oerebdocs.zh.ch/getDoc?docid=10087;True;True;True;True;True;creationDate: 2016-05-07 11:04:51, modifcationDate: 2019-03-19 13:00:57, author: Anita Suter, size: 4297407;creationDate: 2016-05-07 11:04:51, modifcationDate: 2019-03-19 13:00:57, author: Anita Suter, size: 4297407;True;https://oerebdocs.zh.ch/getDoc?docid=10087;True
ZH;2;Affoltern am Albis;20240511;https://oerebdocs.zh.ch/getDoc?docid=9361;True;True;True;True;False;creationDate: 2023-03-30 11:58:51, modifcationDate: 2023-03-31 19:13:55, author: None, size: 403414;creationDate: 2024-08-30 10:07:52, modifcationDate: 2024-08-30 10:07:52, author: PP PP, size: 456696;False;https://oerebdocs.zh.ch/getDoc?docid=9361;True
ZH;3;Bonstetten;20240511;https://oerebdocs.zh.ch/getDoc?docid=9362;True;True;True;True;True;creationDate: 2023-03-20 13:54:46, modifcationDate: 2023-03-20 13:54:46, author: Suter von Knel AG, size: 530033;creationDate: 2023-03-20 13:54:46, modifcationDate: 2023-03-20 13:54:46, author: Suter von Knel AG, size: 530033;True;https://oerebdocs.zh.ch/getDoc?docid=9362;True
ZH;4;Hausen am Albis;20240511;https://oerebdocs.zh.ch/getDoc?docid=9363;True;True;True;True;True;creationDate: 2013-11-28 21:56:33, modifcationDate: 2020-05-12 10:06:59, author: Anita Suter, size: 1930846;creationDate: 2013-11-28 21:56:33, modifcationDate: 2020-05-12 10:06:59, author: Anita Suter, size: 1930846;True;https://oerebdocs.zh.ch/getDoc?docid=9363;True
ZH;5;Hedingen;20240511;https://oerebdocs.zh.ch/getDoc?docid=9374;True;True;True;True;False;creationDate: 2010-05-04 12:09:01, modifcationDate: 2018-01-09 16:46:48, author: nh, size: 64256;creationDate: 2024-09-18 07:59:50, modifcationDate: 2024-09-18 07:59:50, author: hed_gablera, size: 609632;False;https://oerebdocs.zh.ch/getDoc?docid=9374;True
ZH;6;Kappel am Albis;20240511;https://oerebdocs.zh.ch/getDoc?docid=9942;True;True;True;True;True;creationDate: 2019-05-15 08:34:51, modifcationDate: 2019-05-15 08:34:51, author: Igu, size: 65293;creationDate: 2019-05-15 08:34:51, modifcationDate: 2019-05-15 08:34:51, author: Igu, size: 65293;True;https://oerebdocs.zh.ch/getDoc?docid=9942;True
ZH;7;Knonau;20240511;https://oerebdocs.zh.ch/getDoc?docid=9938;True;True;True;True;True;creationDate: 2012-10-18 06:16:45, modifcationDate: 2018-02-15 12:06:47, author: Stefanie Roth, size: 298758;creationDate: 2012-10-18 06:16:45, modifcationDate: 2018-02-15 12:06:47, author: Stefanie Roth, size: 298758;True;https://oerebdocs.zh.ch/getDoc?docid=9938;True
ZH;8;Maschwanden;20240511;https://oerebdocs.zh.ch/getDoc?docid=9365;True;True;True;True;True;creationDate: 2023-11-21 07:12:41, modifcationDate: 2023-11-21 07:12:41, author: mas_nitschkec, size: 596325;creationDate: 2023-11-21 07:12:41, modifcationDate: 2023-11-21 07:12:41, author: mas_nitschkec, size: 596325;True;https://oerebdocs.zh.ch/getDoc?docid=9365;True
ZH;9;Mettmenstetten;20240511;https://oerebdocs.zh.ch/getDoc?docid=10086;True;True;True;True;True;creationDate: 2021-10-26 13:34:21, modifcationDate: 2021-10-26 13:34:21, author: Hugo Wandeler, size: 2472913;creationDate: 2021-10-26 13:34:21, modifcationDate: 2021-10-26 13:34:21, author: Hugo Wandeler, size: 2472913;True;https://oerebdocs.zh.ch/getDoc?docid=10086;True
ZH;10;Obfelden;20240511;https://oerebdocs.zh.ch/getDoc?docid=11878;True;True;True;True;True;creationDate: 2013-01-22 13:11:59, modifcationDate: 2018-08-30 12:35:49, author: Ernesto, size: 647406;creationDate: 2013-01-22 13:11:59, modifcationDate: 2018-08-30 12:35:49, author: Ernesto, size: 647406;True;https://oerebdocs.zh.ch/getDoc?docid=11878;True
ZH;11;Ottenbach;20240511;https://oerebdocs.zh.ch/getDoc?docid=11874;True;True;True;True;True;creationDate: 2020-01-31 07:18:10, modifcationDate: 2020-01-31 07:18:10, author: lara.blaettler, size: 387840;creationDate: 2020-01-31 07:18:10, modifcationDate: 2020-01-31 07:18:10, author: lara.blaettler, size: 387840;True;https://oerebdocs.zh.ch/getDoc?docid=11874;True
ZH;12;Rifferswil;20240511;https://oerebdocs.zh.ch/getDoc?docid=11652;True;True;True;True;True;creationDate: 2019-06-12 07:37:20, modifcationDate: 2022-05-19 07:59:28, author: Gem.Mettmenstetten, size: 12072783;creationDate: 2019-06-12 07:37:20, modifcationDate: 2022-05-19 07:59:28, author: Gem.Mettmenstetten, size: 12072783;True;https://oerebdocs.zh.ch/getDoc?docid=11652;True
ZH;13;Stallikon;20240511;https://oerebdocs.zh.ch/getDoc?docid=9946;True;True;True;True;True;creationDate: 2012-09-13 13:58:47, modifcationDate: 2018-02-15 12:07:30, author: None, size: 491570;creationDate: 2012-09-13 13:58:47, modifcationDate: 2018-02-15 12:07:30, author: None, size: 491570;True;https://oerebdocs.zh.ch/getDoc?docid=9946;True
ZH;14;Wettswil am Albis;20240511;https://oerebdocs.zh.ch/getDoc?docid=11651;True;True;True;True;True;creationDate: 2013-02-13 10:40:49, modifcationDate: 2018-08-29 15:19:46, author: sg, size: 35583;creationDate: 2013-02-13 10:40:49, modifcationDate: 2018-08-29 15:19:46, author: sg, size: 35583;True;https://oerebdocs.zh.ch/getDoc?docid=11651;True
ZH;22;Benken (ZH);20240511;https://oerebdocs.zh.ch/getDoc?docid=11884;True;True;True;True;True;creationDate: 2019-06-19 09:36:25, modifcationDate: 2019-06-20 08:21:52, author: Hans Toniolo, size: 69511;creationDate: 2019-06-19 09:36:25, modifcationDate: 2019-06-20 08:21:52, author: Hans Toniolo, size: 69511;True;https://oerebdocs.zh.ch/getDoc?docid=11884;True
ZH;23;Berg am Irchel;20240511;https://oerebdocs.zh.ch/getDoc?docid=5519;True;True;True;True;True;creationDate: 2012-06-22 06:37:06, modifcationDate: 2016-07-11 14:48:35, author: None, size: 796899;creationDate: 2012-06-22 06:37:06, modifcationDate: 2016-07-11 14:48:35, author: None, size: 796899;True;https://oerebdocs.zh.ch/getDoc?docid=5519;True
ZH;24;Buch am Irchel;20240511;https://oerebdocs.zh.ch/getDoc?docid=12134;True;True;True;True;True;creationDate: 2008-10-23 10:43:44, modifcationDate: 2022-12-02 07:32:00, author: None, size: 159126;creationDate: 2008-10-23 10:43:44, modifcationDate: 2022-12-02 07:32:00, author: None, size: 159126;True;https://oerebdocs.zh.ch/getDoc?docid=12134;True
ZH;25;Dachsen;20240511;https://oerebdocs.zh.ch/getDoc?docid=8935;True;True;True;True;True;creationDate: 2015-01-12 13:15:06, modifcationDate: 2017-10-31 11:05:57, author: Sandra Andreossi, size: 1321343;creationDate: 2015-01-12 13:15:06, modifcationDate: 2017-10-31 11:05:57, author: Sandra Andreossi, size: 1321343;True;https://oerebdocs.zh.ch/getDoc?docid=8935;True
ZH;26;Dorf;20240511;https://oerebdocs.zh.ch/getDoc?docid=12296;True;True;True;True;False;creationDate: 2021-12-10 08:10:19, modifcationDate: 2022-04-14 11:57:43, author: None, size: 427361;creationDate: 2024-11-25 14:44:43, modifcationDate: 2024-11-25 14:44:43, author: Ahcin Maja, size: 218326;False;https://oerebdocs.zh.ch/getDoc?docid=12296;True
ZH;27;Feuerthalen;20240511;https://oerebdocs.zh.ch/getDoc?docid=8902;True;True;True;True;True;creationDate: 2005-06-16 14:53:00, modifcationDate: 2017-11-08 17:08:13, author: Caroline Traber, size: 973122;creationDate: 2005-06-16 14:53:00, modifcationDate: 2017-11-08 17:08:13, author: Caroline Traber, size: 973122;True;https://oerebdocs.zh.ch/getDoc?docid=8902;True
ZH;28;Flaach;20240511;https://oerebdocs.zh.ch/getDoc?docid=12814;True;True;True;True;True;creationDate: 2019-07-26 13:34:11, modifcationDate: 2019-07-26 13:34:11, author: None, size: 383005;creationDate: 2019-07-26 13:34:11, modifcationDate: 2019-07-26 13:34:11, author: None, size: 383005;True;https://oerebdocs.zh.ch/getDoc?docid=12814;True
ZH;29;Flurlingen;20240511;https://oerebdocs.zh.ch/getDoc?docid=9319;True;True;True;True;True;creationDate: 2018-09-17 12:24:07, modifcationDate: 2018-09-17 12:24:07, author: Gemeindeverwaltung, size: 886187;creationDate: 2018-09-17 12:24:07, modifcationDate: 2018-09-17 12:24:07, author: Gemeindeverwaltung, size: 886187;True;https://oerebdocs.zh.ch/getDoc?docid=9319;True
ZH;31;Henggart;20240511;https://oerebdocs.zh.ch/getDoc?docid=9310;True;True;True;True;True;creationDate: 2011-03-03 12:32:02, modifcationDate: 2018-01-09 16:49:16, author: wea, size: 231655;creationDate: 2011-03-03 12:32:02, modifcationDate: 2018-01-09 16:49:16, author: wea, size: 231655;True;https://oerebdocs.zh.ch/getDoc?docid=9310;True
ZH;33;Kleinandelfingen;20240511;https://oerebdocs.zh.ch/getDoc?docid=11131;True;True;True;True;True;creationDate: 2021-11-23 15:10:57, modifcationDate: 2021-12-08 14:19:02, author: None, size: 462226;creationDate: 2021-11-23 15:10:57, modifcationDate: 2021-12-08 14:19:02, author: None, size: 462226;True;https://oerebdocs.zh.ch/getDoc?docid=11131;True
ZH;34;Laufen-Uhwiesen;20240511;https://oerebdocs.zh.ch/getDoc?docid=11132;True;True;True;True;True;creationDate: 2003-07-23 15:06:38, modifcationDate: 2018-05-29 07:32:51, author: kkell, size: 98786;creationDate: 2003-07-23 15:06:38, modifcationDate: 2018-05-29 07:32:51, author: kkell, size: 98786;True;https://oerebdocs.zh.ch/getDoc?docid=11132;True
ZH;35;Marthalen;20240511;https://oerebdocs.zh.ch/getDoc?docid=10958;True;True;True;True;True;creationDate: 2010-12-22 13:47:49, modifcationDate: 2018-05-29 08:07:50, author: Fiona Mera, size: 1951961;creationDate: 2010-12-22 13:47:49, modifcationDate: 2018-05-29 08:07:50, author: Fiona Mera, size: 1951961;True;https://oerebdocs.zh.ch/getDoc?docid=10958;True
ZH;37;Ossingen;20240511;https://oerebdocs.zh.ch/getDoc?docid=12841;True;True;True;True;True;creationDate: 2018-11-19 10:31:14, modifcationDate: 2018-11-19 10:31:14, author: , size: 269804;creationDate: 2018-11-19 10:31:14, modifcationDate: 2018-11-19 10:31:14, author: , size: 269804;True;https://oerebdocs.zh.ch/getDoc?docid=12841;True
ZH;38;Rheinau;20240511;https://oerebdocs.zh.ch/getDoc?docid=11366;True;True;True;True;True;creationDate: 2013-05-03 12:36:03, modifcationDate: 2018-05-29 08:13:51, author: None, size: 67067;creationDate: 2013-05-03 12:36:03, modifcationDate: 2018-05-29 08:13:51, author: None, size: 67067;True;https://oerebdocs.zh.ch/getDoc?docid=11366;True
ZH;39;Thalheim an der Thur;20240511;https://oerebdocs.zh.ch/getDoc?docid=12144;True;True;True;True;True;creationDate: 2016-07-14 11:04:24, modifcationDate: 2018-11-14 13:51:51, author: inggis, size: 96992;creationDate: 2016-07-14 11:04:24, modifcationDate: 2018-11-14 13:51:51, author: inggis, size: 96992;True;https://oerebdocs.zh.ch/getDoc?docid=12144;True
ZH;40;Trüllikon;20240511;https://oerebdocs.zh.ch/getDoc?docid=12295;True;True;True;True;True;creationDate: 2010-07-07 12:08:30, modifcationDate: 2018-12-02 08:34:11, author: cp, size: 161577;creationDate: 2010-07-07 12:08:30, modifcationDate: 2018-12-02 08:34:11, author: cp, size: 161577;True;https://oerebdocs.zh.ch/getDoc?docid=12295;True
ZH;41;Truttikon;20240511;https://oerebdocs.zh.ch/getDoc?docid=12418;True;True;True;True;True;creationDate: 2017-12-14 14:13:11, modifcationDate: 2018-12-14 09:37:00, author: std, size: 60366;creationDate: 2017-12-14 14:13:11, modifcationDate: 2018-12-14 09:37:00, author: std, size: 60366;True;https://oerebdocs.zh.ch/getDoc?docid=12418;True
ZH;43;Volken;20240511;https://oerebdocs.zh.ch/getDoc?docid=12417;True;True;True;True;True;creationDate: 2019-04-16 08:23:43, modifcationDate: 2019-05-28 12:25:40, author: Daniel Steinlin, size: 2016292;creationDate: 2019-04-16 08:23:43, modifcationDate: 2019-05-28 12:25:40, author: Daniel Steinlin, size: 2016292;True;https://oerebdocs.zh.ch/getDoc?docid=12417;True
ZH;51;Bachenbülach;20240511;https://oerebdocs.zh.ch/getDoc?docid=6380;True;True;True;True;True;creationDate: 2017-10-10 07:40:44, modifcationDate: 2017-12-04 13:18:49, author: None, size: 658534;creationDate: 2017-10-10 07:40:44, modifcationDate: 2017-12-04 13:18:49, author: None, size: 658534;True;https://oerebdocs.zh.ch/getDoc?docid=6380;True
ZH;52;Bassersdorf;20240511;https://oerebdocs.zh.ch/getDoc?docid=5390;True;True;True;True;True;creationDate: 2010-07-14 12:42:27, modifcationDate: 2016-01-11 12:03:45, author: Vogt, size: 427384;creationDate: 2010-07-14 12:42:27, modifcationDate: 2016-01-11 12:03:45, author: Vogt, size: 427384;True;https://oerebdocs.zh.ch/getDoc?docid=5390;True
ZH;53;Bülach;20240511;https://oerebdocs.zh.ch/getDoc?docid=6576;True;True;True;True;True;creationDate: 2021-07-29 07:34:57, modifcationDate: 2021-07-29 07:34:57, author: Trussardi Fabio, size: 335683;creationDate: 2021-07-29 07:34:57, modifcationDate: 2021-07-29 07:34:57, author: Trussardi Fabio, size: 335683;True;https://oerebdocs.zh.ch/getDoc?docid=6576;True
